TIC ID,Other name ,CV Type,Paper,Link,Key:,,https://iopscience.iop.org/article/10.3847/1538-4357/abf2bc/pdf
2521888,V729 Sagittarii,Between DN and NLs,"Long-term photometric behavior of the eclipsing 
cataclysmic variable V729 Sagittarii",https://arxiv.org/pdf/1705.03164.pdf,"papers with 
O-C diagrams",,
3034524,QZ Aurigae,,"QZ Aurigae: An eclipsing cataclysmic variable with a
 white dwarf of almost equivalent mass to its companion",https://drive.google.com/file/d/18dSgiQyngWXv36ttwK41Jq6ZlFun0RkS/view?usp=sharing,Not sure,?,
5393020,NSV 4618,,"The evolutionary status of Cataclysmic 
Variables: eclipse modelling of 15 systems",https://academic.oup.com/mnras/article/486/4/5535/5479265,Missing lcs,,
9560142,EX Hya,Polar DQ HER,EXOSAT X-ray observations of the eclipsing magnetic cataclysmic variable EX Hya,https://academic.oup.com/mnras/article/231/3/549/1042468,,,
18250189,TT Tri,NL,"New Variable Hot Subdwarf Stars Identified from Anomalous
 Gaia Flux Errors, Observed by TESS, and Classified 
via Fourier Diagnostics",https://iopscience.iop.org/article/10.3847/1538-4357/ac49f1/pdf,,,
22592859,V808 Aur,Polar,Photometric monitoring of eclipsing cataclysmic variables,https://pos.sissa.it/425/039/pdf,,,
27065525,SDSS J100658.40+233724.4,,"The evolutionary status of Cataclysmic 
Variables: eclipse modelling of 15 systems",https://academic.oup.com/mnras/article/486/4/5535/5479264,,,
,,,"Orbital periods of cataclysmic variables identified by the 
SDSS. VI. The 4.5-hr period eclipsing system
 SDSS J100658.40+233724.4",https://arxiv.org/pdf/0909.2784.pdf,,,
52861041,HT Cas,DN,"ULTRACAM photometry of the eclipsing cataclysmic variables GY Cnc, IR Com and HT Cas",https://academic.oup.com/mnras/article/364/4/1158/1043343,,,
61285257,DO Leo,,DO LEONIS: A NEW ECLIPSING CATACLYSMIC VARIABLE,https://iopscience.iop.org/article/10.1086/132669/meta,,,
67296459,V363 Aur,NL  SW,"A first loo at the eclipcing cataclysmic 
variable lanning 10",https://adsabs.harvard.edu/full/1982ApJ...252..681H,,,
67748357,NZ BOO,SU UMa DN,"Photometric behavior of the cataclysmic variable
 SDSS J150240.98+333423.9/NZ Boo in quiescence",https://link.springer.com/article/10.1134/S1063772915050042,,,
77630842,SW Sex,,Long-term Period Changes and Brightness Variations for the Deeply Eclipsing Cataclysmic Variable SW Sex,https://iopscience.iop.org/article/10.3847/1538-4357/abb1b9/pdf,,,
82509286,SDSS J081256.85+191157.8,Nova-like,New evidence for the precession of tilted disk in SDSS J081256.85+191157.8,https://arxiv.org/pdf/2303.11847.pdf,,,
86408822,WZ Sge,SU WZ,WZ Sge: an eclipsing cataclysmic variable evolving towards the period minimum,https://arxiv.org/pdf/1705.03155.pdf,,,
100234005,J310.7748+34.2279,,"New Variable Hot Subdwarf Stars Identified from Anomalous
 Gaia Flux Errors, Observed by TESS, and Classified 
via Fourier Diagnostics",https://iopscience.iop.org/article/10.3847/1538-4357/ac49f1/pdf,,,
103914433,CTCV J1300−3052,SU UMa DN,"The evolutionary status of Cataclysmic 
Variables: eclipse modelling of 15 systems",https://academic.oup.com/mnras/article/486/4/5535/5479255,,,
150455296,J181051.78+173558.1,,"New Variable Hot Subdwarf Stars Identified from Anomalous
 Gaia Flux Errors, Observed by TESS, and Classified 
via Fourier Diagnostics",https://iopscience.iop.org/article/10.3847/1538-4357/ac49f1/pdf,,,
193515431,V1460 Her,"similar to 
AE Aqr","V1460 Her: a fast spinning white dwarf accreting
 from an evolved donor star",https://arxiv.org/pdf/2008.13242.pdf,,,
200049513,CRTS J054558.3+022106,DN,Photometric monitoring of eclipsing cataclysmic variables,https://pos.sissa.it/425/039/pdf,,,
219107776,EX Dra,DN,Photometric monitoring of eclipsing cataclysmic variables,https://pos.sissa.it/425/039/pdf,,,
238609772,GY Cnc,DN,"ULTRACAM photometry of the eclipsing cataclysmic variables GY Cnc, IR Com and HT Cas",https://academic.oup.com/mnras/article/364/4/1158/1043343,,,
